系統編號,英文名稱,中文名稱,圖片,備註,更新時間
3192459,law of sine,正弦定律　,,,2017/7/24
3192461,leading coefficient,領導係數；首項係數,,,2017/7/24
3192462,leading term,首項,,,2017/7/24
3192463,least common multiple,最小公倍數,,,2017/7/24
3192464,least squares method,最小平方法,,,2017/7/24
3192465,left handed limit　,左極限　,,,2017/7/24
3192466,left limit　,左極限　,,,2017/7/24
3192467,left-hand limit　,左極限　,,,2017/7/24
3192468,length,長度,,,2017/7/24
3192469,length of tangent,切線的長；切距,,,2017/7/24
3192470,Leonhard Euler(1707-1783),尤拉,,,2017/7/24
3192471,less than cumulative frequency distribution,以下累積次數分布；以下累積次數分配,,,2017/7/24
3192472,limit,極限,,,2017/7/24
3192473,line,線；直線,,,2017/7/24
3192474,line of intersection,交線,,,2017/7/24
3192475,line permutation,直線排列,,,2017/7/24
3192476,linear arrangement,直線排列,,,2017/7/24
3192477,linear correlation,線性相關；直線相關,,,2017/7/24
3192478,linear function,線性函數；一次函數；線型函數,,,2017/7/24
3192479,linear inequality,線性不等式,,,2017/7/24
3192480,linear interpolation　　　　　　　,線性插值[法],,,2017/7/24
3192481,linear programming　,線性規劃,,,2017/7/24
3192482,liter,公升,,,2017/7/24
3192483,local maximum,[局部]極大[值],,,2017/7/24
3192484,local minimum,[局部]極小[值],,,2017/7/24
3192485,logarithmic function,對數函數,,,2017/7/24
3192486,logarithm　　　　　　　　　　　,對數,,,2017/7/24
3192487,logic,理則學；邏輯[學],,,2017/7/24
3192488,long division,長除法,,,2017/7/24
3192489,longitude,經度　,,,2017/7/24
3192490,lower limit　,下極限,,,2017/7/24
3192491,lower sum　,下和　,,,2017/7/24
3192492,main diagonal　,主對角線　,,,2017/7/24
3192493,major axis,長軸,,,2017/7/24
3192494,mantissa　　　　　　　　　　　　,尾數,,,2017/7/24
3192495,marginal cost　,邊際成本　,,,2017/7/24
3192496,mathematical expectation,數學期望值,,,2017/7/24
3192497,mathematical induction,數學歸納法,,,2017/7/24
3192498,matrix,矩陣,,,2017/7/24
3192499,matrix of coefficients,係數矩陣　,,,2017/7/24
3192500,maximal value,最大[值] ；極大[值],,,2017/7/24
3192501,maximum,最大[值] ；極大[值],,,2017/7/24
3192502,maximum value,最大[值] ；極大[值],,,2017/7/24
3192503,mean,平均；平均值；平均數,,,2017/7/24
3192504,mean value theorem　,均值定理,,,2017/7/24
3192505,median,中位數；中線,,,2017/7/24
3192506,meter,公尺,,,2017/7/24
3192507,method of detached coefficients,分離係數法,,,2017/7/24
3192508,method of least squares　,最小平方法　,,,2017/7/24
3192509,method of slicing,切片法　,,,2017/7/24
3192510,mid-point,中點　,,,2017/7/24
3192511,mid-point method　,中點法,,,2017/7/24
3192512,middle point,中點,,,2017/7/24
3192513,midpoint formula,中點公式　,,,2017/7/24
3192514,milliliter,公撮；毫升,,,2017/7/24
3192515,millimeter,毫米,,,2017/7/24
3192516,minimal value,最小[值]； 極小[值],,,2017/7/24
3192517,minimum,最小[值]； 極小[值],,,2017/7/24
3192518,minimum value,最小[值]； 極小[值],,,2017/7/24
3192519,minor axis,短軸,,,2017/7/24
3192520,minuend,被減數,,,2017/7/24
3192521,minus,減；負的,,,2017/7/24
3192522,minus sign,減號；負號,,,2017/7/24
3192523,minute,分,,,2017/7/24
3192524,mode,?數；方式,,,2017/7/24
3192525,modulus　　　　　　　　　　　,模；模數；絕對值；尺度,,,2017/7/24
3192526,monomial,單項式；單項的,,,2017/7/24
3192527,more than cumulative frequency distribution,以上累積次數分布；以上累積次數分配,,,2017/7/24
3192528,multiple,倍數；倍式；多重,,,2017/7/24
3192529,multiplicand,被乘數；被乘式,,,2017/7/24
3192530,multiplication,乘法,,,2017/7/24
3192531,multiplication rule,乘法原理；乘法法則,,,2017/7/24
3192532,multiplier,乘數；乘式；乘子,,,2017/7/24
3192533,multiplier rule,乘數法則,,,2017/7/24
3192534,multivariate polynomial,多元多項式,,,2017/7/24
3192535,mutually exclusive event,互斥事件,,,2017/7/24
3192536,n-th root,n次方根,,,2017/7/24
3192537,natural logarithm,自然對數,,,2017/7/24
3192538,natural number,自然數,,,2017/7/24
3192539,negative angle identity　　　,負角關係式　,,,2017/7/24
3192540,negative angle　　　　　　　　　,負角,,,2017/7/24
3192541,negative correlation,負相關,,,2017/7/24
3192542,negative integer,負整數,,,2017/7/24
3192543,Newton's method　,牛頓法,,,2017/7/24
3192544,Newton's rational root theorem,牛頓有理根判別定理,,,2017/7/24
3192545,"Newton, Isaac (1643-1727)",牛頓,,,2017/7/24
3192546,Niels Hernik Abel(1802-1829),阿貝爾,,,2017/7/24
3192547,nonnegative integer,非負整數,,,2017/7/24
3192548,normal curve,正規曲線,,,2017/7/24
3192549,normal distribution,常態分布；常態分配,,,2017/7/24
3192550,normal form,範式；正規形式；法線式,,,2017/7/24
3192551,normal line,法線,,,2017/7/24
3192552,normal vector,法向量,,,2017/7/24
3192553,null vector,零向量,,,2017/7/24
3192554,number line,數線,,,2017/7/24
3192555,numerator,分子,,,2017/7/24
3192556,objective function　,目標函數,,,2017/7/24
3192557,octant,卦限,,,2017/7/24
3192558,odd function,奇函數,,,2017/7/24
3192559,odd number,奇數,,,2017/7/24
3192560,ogive curve,肩形曲線,,,2017/7/24
3192561,one-to-one correspondence,一對一對應,,,2017/7/24
3192562,open interval,開區間,,,2017/7/24
3192563,opposite side　　　　　　　　　,對邊　,,,2017/7/24
3192564,optimal solution,最佳解,,,2017/7/24
3192565,optimization problem　,最佳化問題　,,,2017/7/24
3192566,ordered pair,有序偶；[有序]數對,,,2017/7/24
3192567,ordinal,順序的；序數,,,2017/7/24
3192568,ordinate,縱[坐]標,,,2017/7/24
3192569,origin　　　　　　　　　　　　,原點,,,2017/7/24
3192570,orthogonal,正交；直交,,,2017/7/24
3192571,orthogonal projection,正[交]射影,,,2017/7/24
3192572,parabola,拋物線,,,2017/7/24
3192573,parallel,平行,,,2017/7/24
3192574,parallel axiom,平行公設；平行公理,,,2017/7/24
3192575,parallelogram law,平行四邊形定律,,,2017/7/24
3192576,parallelogram theorem,平行四邊形定理,,,2017/7/24
3192577,parameter,參數；參變量,,,2017/7/24
3192578,parametric equation,參數方程[式],,,2017/7/24
3192579,parametric equation of line,直線參數式　,,,2017/7/24
3192580,partition　,分割,,,2017/7/24
3192581,Pascal triangle,巴斯卡三角形　,,,2017/7/24
3192582,"Pascal, Blaise (1623-1662)",巴斯卡,,,2017/7/24
3192583,percentile rank,百分等級,,,2017/7/24
3192584,periodic decimal,循環小數,,,2017/7/24
3192585,periodic function　　　　　　,週期函數,,,2017/7/24
3192586,period　　　　　　　　　　　　,週期,,,2017/7/24
3192587,permutation,排列；置換,,,2017/7/24
3192588,perpendicular,垂直[於],,,2017/7/24
3192589,pie chart,圓形圖,,,2017/7/24
3192590,plane,平面,,,2017/7/24
3192591,plane rectangular coordinate system,平面直角坐標系,,,2017/7/24
3192592,plus,加；加號；正的,,,2017/7/24
3192593,plus sign,加號；正號,,,2017/7/24
3192594,point,點,,,2017/7/24
3192595,point circle,點圓,,,2017/7/24
3192596,point of inflection(inflexion),反曲點；拐點,,,2017/7/24
3192597,point of reference　,參考點；基準點,,,2017/7/24
3192598,point of tangency,切點,,,2017/7/24
3192599,point slope form,點斜式,,,2017/7/24
3192600,polar axis　　　　　　　　　　　,極軸,,,2017/7/24
3192601,polar coordinates　　　　,極坐標　,,,2017/7/24
3192602,polar form　　　　　　　　　　,極式,,,2017/7/24
3192603,polynomial,多項式,,,2017/7/24
3192604,polynomial function,多項式函數,,,2017/7/24
3192605,polynomial in one variable,單變數多項式；一元多項式,,,2017/7/24
3192606,polynomial of degree zero,零次多項式,,,2017/7/24
3192607,polynomial of higher degree,高次函數,,,2017/7/24
3192608,polynomial of interpolation,插值多項式　,,,2017/7/24
3192609,polynomial with integer coefficients,整係數多項式,,,2017/7/24
3192610,population,母體,,,2017/7/24
3192611,population parameter,母體參數,,,2017/7/24
3192612,population size,母體大小,,,2017/7/24
3192613,population standard deviation,母體標準差,,,2017/7/24
3192614,population variance,母體變異數,,,2017/7/24
3192615,position vector,位置向量,,,2017/7/24
3192616,positive angle　　　　　　　　　,正角,,,2017/7/24
3192617,positive correlation,正相關　,,,2017/7/24
3192618,positive integer,正整數,,,2017/7/24
3192619,power,[乘]冪；次方；功率,,,2017/7/24
3192620,power function,冪函數；檢定力函數,,,2017/7/24
3192621,prime,質；質式；質數,,,2017/7/24
3192622,prime factor,質因子；質因數；質因式,,,2017/7/24
3192623,prime number,質數,,,2017/7/24
3192624,principal argument　　　　　　,主輻角,,,2017/7/24
3192625,principle of inclusion and exclusion,取捨原理；排容原理,,,2017/7/24
3192626,probability,機率,,,2017/7/24
3192627,probability distribution,機率分布；機率分配,,,2017/7/24
3192628,product set,積集合,,,2017/7/24
3192629,projection,射影；射影算子；投影,,,2017/7/24
3192630,pure imaginary number,純虛數,,,2017/7/24
3192631,pyramid,稜錐[體]；角錐[體],,,2017/7/24
3192632,Pythagoras,畢達哥拉斯,,,2017/7/24
3192633,Pythagorean identity,平方關係式；平方恆等式,,,2017/7/24
3192634,Pythagorean theorem,畢氏定理（商高定理；勾股定理）,,,2017/7/24
3192635,quadrangular pyramid,四角錐,,,2017/7/24
3192636,quadrant,象限,,,2017/7/24
3192637,quadrant angle　　　　　　　,象限角,,,2017/7/24
3192638,quadratic function,二次函數,,,2017/7/24
3192639,quadratic inequality,二次不等式,,,2017/7/24
3192640,qualitative data,定性數據,,,2017/7/24
3192641,quantitative data,定量數據,,,2017/7/24
3192642,quartile,四分位數,,,2017/7/24
3192643,quartile range,四分位距,,,2017/7/24
3192644,quotient,商[數]；商式,,,2017/7/24
3192645,quotient identity,商數關係式；商數恆等式,,,2017/7/24
3192646,quotient relation,商數關係式,,,2017/7/24
3192647,radian,弧度；弳[度],,,2017/7/24
3192648,radian measure　　　　　　　　,弧度；弧度法,,,2017/7/24
3192649,radian system,弧度制；弳度制,,,2017/7/24
3192650,radical,根數；根式；根基,,,2017/7/24
3192651,radius,半徑,,,2017/7/24
3192652,random experiment,隨機試驗,,,2017/7/24
3192653,random numbers table,亂數表；隨機號碼表,,,2017/7/24
3192654,random variable,隨機變數,,,2017/7/24
3192655,range,區域；範圍；值域；全距,,,2017/7/24
3192656,range of values,值域,,,2017/7/24
3192657,ratio of the circumference of a circle to its diameter,圓周率；π,,,2017/7/24
3192658,rational exponent,有理指數,,,2017/7/24
3192659,rational number,有理數,,,2017/7/24
3192660,rational point,有理點,,,2017/7/24
3192661,rational root,有理根,,,2017/7/24
3192662,ray　　　　　　　　　　　　　,射線,,,2017/7/24
3192663,real number,實數,,,2017/7/24
3192664,real part,實部,,,2017/7/24
3192665,reciprocal identity,倒數關係式；倒數恆等式,,,2017/7/24
3192666,reciprocal relation,倒數關係,,,2017/7/24
3192667,rectangle,長方形；矩形,,,2017/7/24
3192668,rectangular Cartesian coordinates,直角坐標,,,2017/7/24
3192669,rectangular coordinates,直角坐標,,,2017/7/24
3192670,rectangular parallelopiped,長方體　,,,2017/7/24
3192671,recurrence formula,遞迴公式,,,2017/7/24
3192672,recurring period,循環節,,,2017/7/24
3192673,recursion formula,遞迴公式,,,2017/7/24
3192674,recursive relation,遞迴關係,,,2017/7/24
3192675,reference angle,參考角,,,2017/7/24
3192676,regression line　,迴歸線,,,2017/7/24
3192677,regular parabolic arch,正拋物線拱形,,,2017/7/24
3192678,regular tetrahedron,正四面體,,,2017/7/24
3192679,relative extremum,相對極值,,,2017/7/24
3192680,relative frequency polygon,相對次數折線圖,,,2017/7/24
3192681,relative maximum,相對極大[值],,,2017/7/24
3192682,relative maximum value,相對極大[值],,,2017/7/24
3192683,relative minimum,相對極小[值],,,2017/7/24
3192684,relative minimum value,相對極小[值],,,2017/7/24
3192685,relatively prime,互質,,,2017/7/24
3192686,remainder,餘數；餘式；餘項；剩餘,,,2017/7/24
3192687,remainder theorem,餘式定理,,,2017/7/24
3192688,Rene Descartes,笛卡兒,,,2017/7/24
3192689,repeated combination,重複組合,,,2017/7/24
3192690,repeated permutation,重複排列,,,2017/7/24
3192691,repeated root,重根,,,2017/7/24
3192692,repeated systematic sampling,重複系統抽樣,,,2017/7/24
3192693,repeating decimal,循環小數,,,2017/7/24
3192694,representation in coordinates,坐標表示[法],,,2017/7/24
3192695,resonance　　　　　　　　　　　,共鳴；共振,,,2017/7/24
3192696,resultant force,合力,,,2017/7/24
3192697,Riemann sum,黎曼和,,,2017/7/24
3192698,right angle,直角,,,2017/7/24
3192699,right cone,正圓錐,,,2017/7/24
3192700,right cylinder,正圓柱面,,,2017/7/24
3192701,right dihedral angle,直二面角,,,2017/7/24
3192702,right handed limit　,右極限,,,2017/7/24
3192703,right limit　,右極限,,,2017/7/24
3192704,right triangle　　　　　　　,直角三角形,,,2017/7/24
3192705,right-hand limit　,右極限,,,2017/7/24
3192706,root,根,,,2017/7/24
3192707,row,列,,,2017/7/24
3192708,row matrix　,列矩陣,,,2017/7/24
3192709,row operation,列運算,,,2017/7/24
3192710,rule,法[則]；規則；律,,,2017/7/24
3192711,rule of addition,加法原理,,,2017/7/24
3192712,rule of total probability,全機率法則,,,2017/7/24
3192713,ruler,直尺,,,2017/7/24
3192714,sample,樣本,,,2017/7/24
3192715,sample mean,樣本平均數[值],,,2017/7/24
3192716,sample point,樣本點,,,2017/7/24
3192717,sample size,樣本大小,,,2017/7/24
3192718,sample space,樣本空間,,,2017/7/24
3192719,sample standard deviation,樣本標準差,,,2017/7/24
3192720,sample survey,樣本調查,,,2017/7/24
3192721,sample variance,樣本變異數,,,2017/7/24
3192722,sampling,抽樣,,,2017/7/24
3192723,scalar,純量,,,2017/7/24
3192724,scalar multiplication,純量乘法；係數積,,,2017/7/24
3192725,scatter diagram,散布圖,,,2017/7/24
3192726,scientific notation,科學記法；科學記號,,,2017/7/24
3192727,secant,正割；割線,,,2017/7/24
3192728,secant function,正割函數,,,2017/7/24
3192729,secant line　　　　　　　　　　　,割線,,,2017/7/24
3192730,second,秒,,,2017/7/24
3192731,second quartile,第二四分位數,,,2017/7/24
3192732,sector,扇形,,,2017/7/24
3192733,series,級數,,,2017/7/24
3192734,series of decreasing powers,降冪級數,,,2017/7/24
3192735,set,集[合],,,2017/7/24
3192736,sexagesimal system,六十進位制,,,2017/7/24
3192737,side,邊；側,,,2017/7/24
3192738,sign of equality,等號,,,2017/7/24
3192739,significant figure,有效數[字],,,2017/7/24
3192740,similar triangles,相似三角形,,,2017/7/24
3192741,simple random sampling,簡單隨機抽樣,,,2017/7/24
3192742,simple root,單根,,,2017/7/24
3192743,sine,正弦,,,2017/7/24
3192744,sine function,正弦函數,,,2017/7/24
3192460,sine law,正弦定律　,,,2017/7/24
3192745,skew lines,歪斜線,,,2017/7/24
3192746,skew matrix,反對稱矩陣；斜矩陣,,,2017/7/24
3192747,skew symmetric matrix　,斜對稱方陣,,,2017/7/24
3192748,slope,斜率,,,2017/7/24
3192749,slope function,斜率函數,,,2017/7/24
3192750,slope intercept form,斜截式,,,2017/7/24
3192751,slope-intercept form,斜截式,,,2017/7/24
3192752,smaller than,小於,,,2017/7/24
3192753,smooth curve,平滑曲線,,,2017/7/24
3192754,solid cone,立體錐；錐體,,,2017/7/24
3192755,solid of revolution　,迴轉體；旋轉體,,,2017/7/24
3192756,solid sphere,實心球,,,2017/7/24
3192757,south pole,南極,,,2017/7/24
3192758,space,空間,,,2017/7/24
3192759,space coordinate system,空間坐標系,,,2017/7/24
3192760,sphere,球形；球面,,,2017/7/24
3192761,square relation,平方關係,,,2017/7/24
3192762,square root　　　　　　　　　,平方根,,,2017/7/24
3192763,square 　　　　　　　　　　　　　,正方形；平方,,,2017/7/24
3192764,squeeze theorem　,夾擠定理,,,2017/7/24
3192765,standard deviation　,標準差,,,2017/7/24
3192766,standard factorization,標準分解[式],,,2017/7/24
3192767,standard form,標準[形]式,,,2017/7/24
3192768,standard score,標準計分,,,2017/7/24
3192769,standardization,標準化,,,2017/7/24
3192770,statistical graph,統計圖,,,2017/7/24
3192771,statistical inference,統計推論,,,2017/7/24
3192772,statistical table,統計表,,,2017/7/24
3192773,statistics,統計學,,,2017/7/24
3192774,straight line correlation,直線相關,,,2017/7/24
3192775,stratified random sampling,分層隨機抽樣[法],,,2017/7/24
3192776,stratified random sampling method,分層隨機抽樣法,,,2017/7/24
3192777,stratified sampling,分層抽樣,,,2017/7/24
3192778,strictly decreasing function,嚴格遞減函數,,,2017/7/24
3192779,strictly increasing function　,嚴格遞增函數,,,2017/7/24
3192780,subset　　　　　　　　　　　　,子集合,,,2017/7/24
3192781,subtraction,減法,,,2017/7/24
3192782,subtraction of vectors,向量的減法,,,2017/7/24
3192783,subtrahend,減數,,,2017/7/24
3192784,success probability,成功機率,,,2017/7/24
3192785,sum,和；總數,,,2017/7/24
3192786,sum event,和事件,,,2017/7/24
3192787,sum-to-product formula,和差化積公式,,,2017/7/24
3192788,summand,被加數；被加項,,,2017/7/24
3192789,supplementary angle,補角,,,2017/7/24
3192790,sure event,必然事件,,,2017/7/24
3192791,surface,曲面,,,2017/7/24
3192792,symmetric equation of line,直線對稱式,,,2017/7/24
3192793,symmetric form,對稱形式,,,2017/7/24
3192794,symmetric matrix　,對稱方陣；對稱矩陣,,,2017/7/24
3192795,synthetic division,綜合除法,,,2017/7/24
3192796,system of equations,方程組,,,2017/7/24
3192797,system of linear equations in three unknowns,三元一次方程組,,,2017/7/24
3192798,system of linear equations in two unknowns,二元一次方程組,,,2017/7/24
3192799,systematic sampling,系統抽樣,,,2017/7/24
3192800,table of logarithm,對數表,,,2017/7/24
3192801,table of random numbers,亂數表；隨機號碼表,,,2017/7/24
3192802,table of trigonometric function,三角函數表,,,2017/7/24
3192803,tangent,正切；切線,,,2017/7/24
3192804,tangent function,正切函數,,,2017/7/24
3192805,tangent line,切線,,,2017/7/24
3192806,tangent plane,切平面,,,2017/7/24
3192807,tangential equation of curve,曲線的切線方程式,,,2017/7/24
3192808,term,項,,,2017/7/24
3192809,terminal point,終點,,,2017/7/24
3192810,terminal side,終邊,,,2017/7/24
3192811,terminating decimal,有限小數,,,2017/7/24
3192812,test,檢驗；試驗；測驗；檢定,,,2017/7/24
3192813,tetrahedron,四面形；四面體,,,2017/7/24
3192814,theorem of three perpendicular lines,三垂線定理,,,2017/7/24
3192815,third quartile,第三四分位數,,,2017/7/24
3192816,times,倍；乘,,,2017/7/24
3192817,transition matrix,轉移矩陣,,,2017/7/24
3192818,transitive law,遞移律,,,2017/7/24
3192819,translation,平移,,,2017/7/24
3192820,transversal axis,橫截軸；貫軸,,,2017/7/24
3192821,trapezoidal method　,梯形法,,,2017/7/24
3192822,Triangle,三角形,,,2017/7/24
3192823,triangle inequality,三角[形]不等式,,,2017/7/24
3192824,triangular pyramid,三角錐；三稜錐,,,2017/7/24
3192825,triangulation,三角剖分；三角測量,,,2017/7/24
3192826,trichotomy law,三一律,,,2017/7/24
3192827,trigonometric function,三角函數,,,2017/7/24
3192828,trigonometry,三角學,,,2017/7/24
3192829,triple-angle formula,三倍角公式,,,2017/7/24
3192830,two-point form,兩點式,,,2017/7/24
3192831,union,聯；併,,,2017/7/24
3192832,unit circle,單位圓,,,2017/7/24
3192833,unit length,單位長,,,2017/7/24
3192834,unit vector,單位向量,,,2017/7/24
3192835,univariate polynomial,單變數多項式；一元多項式,,,2017/7/24
3192836,universal set,宇集,,,2017/7/24
3192837,unknown,未知元；未知數；未知量,,,2017/7/24
3192838,unknown number,未知數,,,2017/7/24
3192839,upper limit　,上極限,,,2017/7/24
3192840,upper sum,上和,,,2017/7/24
3192841,variable,變量；變數；變元；變項,,,2017/7/24
3192842,variance,變異數,,,2017/7/24
3192843,vector,向量,,,2017/7/24
3192844,velocity　,速度,,,2017/7/24
3192845,Venn diagram,文氏圖,,,2017/7/24
3192846,vertex,頂點,,,2017/7/24
3192847,vertical,鉛垂的；頂點的,,,2017/7/24
3192848,vertical line,鉛直線,,,2017/7/24
3192849,wave crest,波峰,,,2017/7/24
3192850,wave trough,波谷,,,2017/7/24
3192851,weight,權[重]函數,,,2017/7/24
3192852,weighted mean,加權平均[值]；加權平均數,,,2017/7/24
3192853,whole number,非負整數,,,2017/7/24
3192854,work,功,,,2017/7/24
3192855,x-coordinate,x坐標,,,2017/7/24
3192856,x-intercept,x 截距　,,,2017/7/24
3192857,xy-plane,xy 平面,,,2017/7/24
3192858,y-coordinate,y坐標,,,2017/7/24
3192859,y-intercept,y 截距　,,,2017/7/24
3192860,year,年,,,2017/7/24
3192861,z-intercept,z 截距,,,2017/7/24
3192862,zero,零；零位；零點,,,2017/7/24
3192863,zero divisor,零因子　,,,2017/7/24
3192864,zero function,零函數,,,2017/7/24
3192865,zero matrix　,零矩陣　,,,2017/7/24
3192866,zero polynomial,零多項式,,,2017/7/24
3192867,zero vector,零向量　,,,2017/7/24
